id,player,pos,team,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,pos_rank,tier,ecr,sd_ecr,risk,injury_status,pos_chr
2560955,Josh Allen,QB,BUF,26.8,1.77,2.7,24.4,29.2,7.21,6.83,7.78,4,5,2,1,1,1.04,0.2,4.13,,QB
2558125,Patrick Mahomes,QB,KC,24.1,1.67,0.703,21.8,26.5,4.51,4.24,5.05,19,22,15,2,1,2.28,0.45,4.3,,QB
2562382,Kyler Murray,QB,ARI,23.4,1.34,0.146,21.5,25.3,3.81,3.86,3.88,26,28,28,3,1,2.76,0.65,4.29,,QB
2564832,Jalen Hurts,QB,PHI,23.3,3.1,0.96,17.9,26.2,3.66,0.254,4.79,29,82,19,4,2,4.72,0.87,5.54,,QB
79860,Matthew Stafford,QB,LAR,22.3,2.23,1.44,18.9,25,2.7,1.28,3.56,42,62,32,5,3,4.48,0.7,4.87,,QB
2565045,Justin Herbert,QB,LAC,20.9,0.948,0.471,19.3,21.6,1.26,1.74,0.202,58,51,80,6,4,7.52,0.81,4.21,,QB
2532820,Kirk Cousins,QB,MIN,20.4,0.995,0.176,18.8,21.4,0.793,1.18,0,66,64,85,7,4,9.28,0.6,4.04,,QB
2504211,Tom Brady,QB,TB,20.2,0.948,0.498,19.1,21.9,0.617,1.54,0.442,71,55,74,8,4,6.16,0.54,3.96,,QB
2562299,Daniel Jones,QB,NYG,19.7,1.67,0.119,17.6,21.5,0.119,0,0.0795,80,85,84,9,4,11.7,1.25,5.04,,QB
2563722,Joe Burrow,QB,CIN,19.6,0.644,0.336,18.7,20.3,0,1.09,-1.14,85,67,108,10,4,8.24,0.71,3.93,,QB
2506363,Aaron Rodgers,QB,GB,19.3,1.33,0.463,16.9,20.3,-0.336,-0.706,-1.12,96,109,106,11,5,12.1,1.03,4.63,,QB
2557898,Cooper Kupp,WR,LAR,19.2,1.79,2.03,16.5,21.3,7.91,7.87,6.65,3,1,4,1,1,1.04,0.19,4,,WR
2556075,Derrick Henry,RB,TEN,19,1.67,1.21,15.9,20.2,8.01,6.96,6.64,2,4,5,1,1,1,0,2.93,,RB
2532956,Ryan Tannehill,QB,TEN,18.8,1.03,0.366,17.2,19.6,-0.799,-0.393,-1.79,107,99,122,12,5,12.2,1.08,4.51,,QB
